year,month,day,date_decimal,snvalue,snerror,nb_observations,
2020,5,22,2020.389,0,0,40,
2020,5,23,2020.392,0,0,37,
2020,5,24,2020.395,0,0,42,
2020,5,25,2020.398,0,0,43,
2020,5,26,2020.4,0,0,50,
2020,5,27,2020.403,0,0,50,
2020,5,28,2020.406,0,0,49,
2020,5,29,2020.408,0,0,56,
2020,5,30,2020.411,0,0,44,
2020,5,31,2020.414,2,0,31,
2020,6,1,2020.417,6,0.4,28,
2020,6,2,2020.419,0,0,56,
2020,6,3,2020.422,9,0.7,37,
2020,6,4,2020.425,11,0.8,37,
2020,6,5,2020.428,13,0.7,33,
2020,6,6,2020.43,16,1,35,
2020,6,7,2020.433,16,1.5,41,
2020,6,8,2020.436,16,1.5,34,
2020,6,9,2020.439,14,1.1,30,
2020,6,10,2020.441,12,1.1,32,
2020,6,11,2020.444,11,0.8,39,
2020,6,12,2020.447,11,0.9,48,
2020,6,13,2020.449,11,0.5,34,
2020,6,14,2020.452,11,0.4,31,
2020,6,15,2020.455,8,0.6,35,
2020,6,16,2020.458,0,0,44,
2020,6,17,2020.46,0,0,44,
2020,6,18,2020.463,0,0,45,
2020,6,19,2020.466,0,0,42,
2020,6,20,2020.469,0,0,50,
2020,6,21,2020.471,0,0,47,
2020,6,22,2020.474,0,0,53,
2020,6,23,2020.477,0,0,55,
2020,6,24,2020.48,0,0,52,
2020,6,25,2020.482,0,0,48,
2020,6,26,2020.485,6,0.4,24,
2020,6,27,2020.488,4,0.8,13,
2020,6,28,2020.49,0,0,36,
2020,6,29,2020.493,0,0,50,
2020,6,30,2020.496,0,0,43,
2020,7,1,2020.499,4,5.6,54,
2020,7,2,2020.501,2,4.6,58,
2020,7,3,2020.504,0,2.3,46,
2020,7,4,2020.507,7,6,32,
2020,7,5,2020.51,5,5.5,47,
2020,7,6,2020.512,5,5.5,56,
2020,7,7,2020.515,8,10.4,38,
2020,7,8,2020.518,0,0,34,
2020,7,9,2020.52,0,0,38,
2020,7,10,2020.523,0,0,41,
2020,7,11,2020.526,0,1.6,48,
2020,7,12,2020.529,0,0,59,
2020,7,13,2020.531,0,0,53,
2020,7,14,2020.534,0,0,40,
2020,7,15,2020.537,2,4.6,41,
2020,7,16,2020.54,0,4,39,
2020,7,17,2020.542,0,2.6,43,
2020,7,18,2020.545,0,1.5,47,
2020,7,19,2020.548,0,1.5,53,
2020,7,20,2020.551,0,1.4,60,
2020,7,21,2020.553,6,5.5,58,
2020,7,22,2020.556,11,2.1,63,
2020,7,23,2020.559,11,2,59,
2020,7,24,2020.561,11,2.2,53,
2020,7,25,2020.564,11,1.7,47,
2020,7,26,2020.567,11,1.8,49,
2020,7,27,2020.57,11,1.5,58,
2020,7,28,2020.572,20,5.1,52,
2020,7,29,2020.575,21,4,64,
2020,7,30,2020.578,21,3.9,58,
2020,7,31,2020.581,21,4.6,60,
2020,8,1,2020.583,26,10.5,23,
2020,8,2,2020.586,15,9.2,38,
2020,8,3,2020.589,11,11.6,45,
2020,8,4,2020.592,11,2.9,57,
2020,8,5,2020.594,12,1.9,63,
2020,8,6,2020.597,14,1.2,69,
2020,8,7,2020.6,17,5.2,59,
2020,8,8,2020.602,12,0.9,59,
2020,8,9,2020.605,13,1.3,60,
2020,8,10,2020.608,13,1,56,
2020,8,11,2020.611,12,2.4,58,
2020,8,12,2020.613,17,7.3,54,
2020,8,13,2020.616,10,7.1,53,
2020,8,14,2020.619,5,6,49,
2020,8,15,2020.622,0,3,49,
2020,8,16,2020.624,0,2.2,52,
2020,8,17,2020.627,0,1.7,50,
2020,8,18,2020.63,13,4.8,52,
2020,8,19,2020.633,16,3.3,53,
2020,8,20,2020.635,12,3.8,56,
2020,8,21,2020.638,3,4.9,52,
2020,8,22,2020.641,0,0,56,
2020,8,23,2020.643,0,0,51,
2020,8,24,2020.646,0,0,58,
2020,8,25,2020.649,0,0,48,
2020,8,26,2020.652,0,0,44,
2020,8,27,2020.654,0,0,49,
2020,8,28,2020.657,0,0,45,
2020,8,29,2020.66,0,0,41,
2020,8,30,2020.663,0,0,42,
2020,8,31,2020.665,0,0,46,
2020,9,1,2020.668,0,0,41,
2020,9,2,2020.671,0,0,49,
2020,9,3,2020.673,0,0,40,
2020,9,4,2020.676,0,1.5,49,
2020,9,5,2020.679,0,0,50,
2020,9,6,2020.682,0,0,44,
2020,9,7,2020.684,0,0,38,
2020,9,8,2020.687,0,0,40,
2020,9,9,2020.69,0,0,41,
2020,9,10,2020.693,0,0,45,
2020,9,11,2020.695,0,0,49,
2020,9,12,2020.698,0,0,43,
2020,9,13,2020.701,0,1.8,41,
2020,9,14,2020.704,2,4.1,51,
2020,9,15,2020.706,0,0,44,
2020,9,16,2020.709,0,0,40,
2020,9,17,2020.712,0,0,39,
2020,9,18,2020.714,0,1.5,46,
2020,9,19,2020.717,0,0,47,
2020,9,20,2020.72,0,0,39,
2020,9,21,2020.723,0,0,47,
2020,9,22,2020.725,0,2.7,42,
2020,9,23,2020.728,7,4.8,39,
2020,9,24,2020.731,5,7.6,42,
2020,9,25,2020.734,4,5.2,32,
2020,9,26,2020.736,0,0,32,
2020,9,27,2020.739,0,1.7,32,
2020,9,28,2020.742,0,0,29,
2020,9,29,2020.745,0,0,38,
2020,9,30,2020.747,0,0,35,
2020,10,1,2020.75,0,0,47,
2020,10,2,2020.753,0,0,31,
2020,10,3,2020.755,0,0,35,
2020,10,4,2020.758,0,2.7,41,
2020,10,5,2020.761,0,0,39,
2020,10,6,2020.764,0,0,43,
2020,10,7,2020.766,0,1.6,38,
2020,10,8,2020.769,6,7.4,35,
2020,10,9,2020.772,20,8.3,45,
2020,10,10,2020.775,18,6.7,42,
2020,10,11,2020.777,20,8.6,44,
2020,10,12,2020.78,14,8.4,44,
2020,10,13,2020.783,0,0,36,
2020,10,14,2020.786,4,5.3,37,
2020,10,15,2020.788,13,3.8,37,
2020,10,16,2020.791,13,2.6,40,
2020,10,17,2020.794,14,4.3,40,
2020,10,18,2020.796,21,9.5,22,
2020,10,19,2020.799,17,4.8,46,
2020,10,20,2020.802,14,3.2,33,
2020,10,21,2020.805,14,4.4,41,
2020,10,22,2020.807,12,2.3,46,
2020,10,23,2020.81,17,5.7,41,
2020,10,24,2020.813,18,4.7,39,
2020,10,25,2020.816,19,8.7,33,
2020,10,26,2020.818,22,7.2,49,
2020,10,27,2020.821,41,10,31,
2020,10,28,2020.824,35,26,44,
2020,10,29,2020.827,42,8.6,34,
2020,10,30,2020.829,34,6.8,36,
2020,10,31,2020.832,26,6.8,46,
2020,11,1,2020.835,5,8.7,33,
2020,11,2,2020.837,9,6.5,42,
2020,11,3,2020.84,16,4,40,
2020,11,4,2020.843,26,7.5,46,
2020,11,5,2020.846,31,8.3,47,
2020,11,6,2020.848,41,6.5,50,
2020,11,7,2020.851,38,8.2,47,
2020,11,8,2020.854,44,7.7,38,
2020,11,9,2020.857,29,3.4,43,
2020,11,10,2020.859,29,6.4,44,
